,security_type,symbol,name,primary_exchange,currency,sector
sec-s-9f1b162e0f464b0ca52953820c220aee,exchange_traded_fund,IMCV,BTC iShares Morningstar Mid-Cap Value ETF,NASDAQ,USD,ETFs
sec-s-bda275048c74454aa5eb76c65dd1c36a,exchange_traded_fund,SCZ,BTC iShares MSCI EAFE Small-Cap ETF,NASDAQ,USD,ETFs
sec-s-1adc6d35aa1d4e2c874554a20f5cc663,exchange_traded_fund,IUSG,BTC iShares Core S&P U.S.Growth ETF,NASDAQ,USD,ETFs
sec-s-0b5a3a922816403c9accb5a260d861b5,exchange_traded_fund,ICLN,BTC iShares Global Clean Energy ETF,NASDAQ,USD,ETFs
sec-s-02604a7d98fd41deb0c2b6bd4c88846e,exchange_traded_fund,IGF,BTC iShares Global Infrastructure ETF,NASDAQ,USD,ETFs
sec-s-6ec4821e9f41456a957c3046460cb1eb,exchange_traded_fund,EMB,BTC iShares J.P. Morgan USD Emerging Markets Bond ETF,NASDAQ,USD,"Fractional Trading, ETFs"
sec-s-197462ca5b6a4b719574bb9f87ad4ade,exchange_traded_fund,BUG,Global X Funds - Cybrscurty ETF,NASDAQ,USD,
sec-s-11d7e6922dd1493abe2657d5608d4607,exchange_traded_fund,IPKW,Invesco International BuyBack Achievers TM ETF,NASDAQ,USD,
sec-s-6043f3f41aa4467788784d2eed6cf2f0,exchange_traded_fund,FTHI,First Trust BuyWrite Income ETF,NASDAQ,USD,ETFs
sec-s-cd7e9fec57d248249b5a929d4471a039,exchange_traded_fund,PKW,Invesco Exchange Traded Fund - Buyback Achiev,NASDAQ,USD,
sec-s-28b34e5db78f4b9f92cb52510dc2b620,exchange_traded_fund,PSCH,Invesco Exchange Traded Fund Trust II - S&p Small-Cap Health,NASDAQ,USD,
sec-s-1d71cabd1fe5445ea9e4e0a7b44c4eb8,exchange_traded_fund,VPN,Global X Funds - Data Center REITs & Digital Infrastructure ETF,NASDAQ,USD,
sec-s-941dd0b1ac874ecfa9872b2719733ed5,exchange_traded_fund,MCHI,iShares Trust - MSCI China ETF,NASDAQ,USD,ETFs
sec-s-9fd281b3b4844b89a992a5ff86175c64,exchange_traded_fund,PGJ,Invesco Exchange Traded Fd  - Global Dragon Cn,NASDAQ,USD,ETFs
sec-s-197462ca5b6a4b719574bb9f87ad4ade,exchange_traded_fund,BUG,Global X Funds - Cybrscurty ETF,NASDAQ,USD,
sec-s-d816acd7e2bc4b658b0245c7df694062,exchange_traded_fund,PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,NASDAQ,USD,
sec-s-2a30f6b612844a54830ec208de2ea627,exchange_traded_fund,DAX,Global X DAX Germany ETF,NASDAQ,USD,
sec-s-1d71cabd1fe5445ea9e4e0a7b44c4eb8,exchange_traded_fund,VPN,Global X Funds - Data Center REITs & Digital Infrastructure ETF,NASDAQ,USD,
sec-s-f23e6ffd14534d01acefe48aa046b073,exchange_traded_fund,PIZ,Invesco DWA Developed Markets Momentum ETF,NASDAQ,USD,
sec-s-348d3001dacd4995b6bd354fc3d41dab,exchange_traded_fund,DGRW,WisdomTree U.S. Quality Dividend Growth Fund,NASDAQ,USD,ETFs
sec-s-0f6be1e65740402d9cb55570f61ec702,exchange_traded_fund,DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,NASDAQ,USD,ETFs
sec-s-15be56c32fc04f91bc1c4623eebccfbb,exchange_traded_fund,PEY,Invesco High Yield Equity Dividend Achievers ETF,NASDAQ,USD,ETFs
sec-s-348d3001dacd4995b6bd354fc3d41dab,exchange_traded_fund,DGRW,WisdomTree U.S. Quality Dividend Growth Fund,NASDAQ,USD,ETFs
sec-s-d99d8e5a9d494b4fb98511a0b3a7d67c,exchange_traded_fund,PID,Invesco International Dividend Achievers ETF,NASDAQ,USD,ETFs
sec-s-5ffc450754be45f99596d5288bd35fb9,exchange_traded_fund,DRIV,Global X Autonomous & Electric Vehicles ETF,NASDAQ,USD,
sec-s-9fd281b3b4844b89a992a5ff86175c64,exchange_traded_fund,PGJ,Invesco Exchange Traded Fd  - Global Dragon Cn,NASDAQ,USD,ETFs
sec-s-23197b39231a4017a22dac654eeb9a1f,exchange_traded_fund,DVY,BTC iShares Select Dividend ETF,NASDAQ,USD,ETFs
sec-s-298a034530404966af0e900c20074792,exchange_traded_fund,PXI,Invesco DWA Energy Momentum ETF,NASDAQ,USD,
sec-s-f23e6ffd14534d01acefe48aa046b073,exchange_traded_fund,PIZ,Invesco DWA Developed Markets Momentum ETF,NASDAQ,USD,
sec-s-d1d893d7d71d44399d46a511322f0b4d,exchange_traded_fund,PIE,Invesco DWA Emerging Markets Momentum ETF,NASDAQ,USD,
sec-s-d816acd7e2bc4b658b0245c7df694062,exchange_traded_fund,PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,NASDAQ,USD,
sec-s-d8671b6976bc4a73b28ba073920064e5,exchange_traded_fund,PRN,Invesco DWA Industrials Momentum ETF,NASDAQ,USD,
sec-s-af380536efc7404db22ec2b19722d5e2,exchange_traded_fund,PYZ,Invesco DWA Basic Materials Momentum ETF,NASDAQ,USD,
sec-s-946405b6bfb94350854c47b95a5eb385,exchange_traded_fund,PTH,Invesco DWA Healthcare Momentum ETF,NASDAQ,USD,ETFs
sec-s-1b5c852bc6f7449dbe7e7d28d496c98d,exchange_traded_fund,PSL,Invesco DWA Consumer Staples Momentum ETF,NASDAQ,USD,
sec-s-d459fe2467d949368a9366cad7050915,exchange_traded_fund,PFI,Invesco DWA Financial Momentum ETF,NASDAQ,USD,
sec-s-34bfe5b0f01147d799f1459a0811ee60,exchange_traded_fund,PDP,Invesco DWA Momentum ETF,NASDAQ,USD,
sec-s-bda275048c74454aa5eb76c65dd1c36a,exchange_traded_fund,SCZ,BTC iShares MSCI EAFE Small-Cap ETF,NASDAQ,USD,ETFs
sec-s-07f801d9293048f29933f63774749f79,exchange_traded_fund,GIGE,SoFi Gig Economy ETF,NASDAQ,USD,
sec-s-89435b4a3de2463cbc5736e36ff1084a,exchange_traded_fund,QCLN,First Trust Exchange-Traded Fund III - First Trust Nasdaq Clean Edge Green Energy Index Fund,NASDAQ,USD,ETFs
sec-s-5ffc450754be45f99596d5288bd35fb9,exchange_traded_fund,DRIV,Global X Autonomous & Electric Vehicles ETF,NASDAQ,USD,
sec-s-1c6d3ec90b8e4ed99ab635eb5ed5120c,exchange_traded_fund,ESGE,iShares Inc iShares ESG MSCI EM ETF,NASDAQ,USD,ETFs
sec-s-6ec4821e9f41456a957c3046460cb1eb,exchange_traded_fund,EMB,BTC iShares J.P. Morgan USD Emerging Markets Bond ETF,NASDAQ,USD,"Fractional Trading, ETFs"
sec-s-2aed82397eb542b9bbc38074926c58b1,exchange_traded_fund,EMIF,BTC iShares Emerging Markets Infrastructure ETF,NASDAQ,USD,ETFs
sec-s-d1d893d7d71d44399d46a511322f0b4d,exchange_traded_fund,PIE,Invesco DWA Emerging Markets Momentum ETF,NASDAQ,USD,
sec-s-ad6127865da24aa7ac2dfb985231e2c7,exchange_traded_fund,VWOB,Vanguard Whitehall - Emerging Market Bond ETF,NASDAQ,USD,ETFs
sec-s-0f6be1e65740402d9cb55570f61ec702,exchange_traded_fund,DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,NASDAQ,USD,ETFs
sec-s-c6497657dd5043f391a9954927c1828c,exchange_traded_fund,ENZL,iShares MSCI New Zealand ETF,NASDAQ,USD,ETFs
sec-s-298a034530404966af0e900c20074792,exchange_traded_fund,PXI,Invesco DWA Energy Momentum ETF,NASDAQ,USD,
sec-s-13987757a1cd4b48bdafb5942ba669a8,exchange_traded_fund,NFTY,First Trust India Nifty 50 Equal Weight ETF,NASDAQ,USD,
sec-s-15be56c32fc04f91bc1c4623eebccfbb,exchange_traded_fund,PEY,Invesco High Yield Equity Dividend Achievers ETF,NASDAQ,USD,ETFs
sec-s-1c6d3ec90b8e4ed99ab635eb5ed5120c,exchange_traded_fund,ESGE,iShares Inc iShares ESG MSCI EM ETF,NASDAQ,USD,ETFs
sec-s-77d0c61e43fb4710bbcc9cb99d7f0a84,exchange_traded_fund,ESPO,VanEck Vectors Video Gaming and eSports ETF,NASDAQ,USD,
sec-s-13987757a1cd4b48bdafb5942ba669a8,exchange_traded_fund,NFTY,First Trust India Nifty 50 Equal Weight ETF,NASDAQ,USD,
sec-s-1554eb05cec2416d88748e45c0103c8f,exchange_traded_fund,VTWO,Vanguard Russell 2000 Index ETF,NASDAQ,USD,
sec-s-15be56c32fc04f91bc1c4623eebccfbb,exchange_traded_fund,PEY,Invesco High Yield Equity Dividend Achievers ETF,NASDAQ,USD,ETFs
sec-s-197462ca5b6a4b719574bb9f87ad4ade,exchange_traded_fund,BUG,Global X Funds - Cybrscurty ETF,NASDAQ,USD,
sec-s-1c6d3ec90b8e4ed99ab635eb5ed5120c,exchange_traded_fund,ESGE,iShares Inc iShares ESG MSCI EM ETF,NASDAQ,USD,ETFs
sec-s-24a8d289dcdf4896ab22593ee2f125d2,exchange_traded_fund,IGSB,iShares Short-Term Corporate Bond ETF,NASDAQ,USD,
sec-s-c9ad68b770be49a6b339de5cf576d465,exchange_traded_fund,EUFN,BTC iShares MSCI Europe Financials ETF,NASDAQ,USD,ETFs
sec-s-e3673b9bf62249959c6ef3e7c8a54d08,exchange_traded_fund,VNQI,Vanguard Global ex-U.S. Real Estate ETF,NASDAQ,USD,ETFs
sec-s-d27a374e7976426da4e190f8738077db,exchange_traded_fund,ACWX,BTC iShares MSCI ACWI ex US ETF,NASDAQ,USD,ETFs
sec-s-28b34e5db78f4b9f92cb52510dc2b620,exchange_traded_fund,PSCH,Invesco Exchange Traded Fund Trust II - S&p Small-Cap Health,NASDAQ,USD,
sec-s-30dabc5025904beeb763c86bfdebf9a4,exchange_traded_fund,FTXL,First Trust Exchange-Traded Fund III - First Trust Nasdaq Semiconductor ETF,NASDAQ,USD,
sec-s-340673f381fd499bb19f54a7b7271b39,exchange_traded_fund,QQC,Simplify Exchange Traded Funds - Simplify Nasdaq 100 Plus Convexity ETF,NASDAQ,USD,
sec-s-89435b4a3de2463cbc5736e36ff1084a,exchange_traded_fund,QCLN,First Trust Exchange-Traded Fund III - First Trust Nasdaq Clean Edge Green Energy Index Fund,NASDAQ,USD,ETFs
sec-s-af765cf4dff141269ddc89e683e4664c,exchange_traded_fund,KBWY,Invesco Exchange Traded Fund Trust II - KBW Premium Yield,NASDAQ,USD,
sec-s-9fd281b3b4844b89a992a5ff86175c64,exchange_traded_fund,PGJ,Invesco Exchange Traded Fd  - Global Dragon Cn,NASDAQ,USD,ETFs
sec-s-c021938eda3446e3a6db0302aa4a7bff,exchange_traded_fund,ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,NASDAQ,USD,ETFs
sec-s-9fd281b3b4844b89a992a5ff86175c64,exchange_traded_fund,PGJ,Invesco Exchange Traded Fd  - Global Dragon Cn,NASDAQ,USD,ETFs
sec-s-f51018c3803448ac8e3537e95868a459,exchange_traded_fund,FEX,First  Lrge Corporation Core Alpha Fund - Shares,NASDAQ,USD,ETFs
sec-s-13987757a1cd4b48bdafb5942ba669a8,exchange_traded_fund,NFTY,First Trust India Nifty 50 Equal Weight ETF,NASDAQ,USD,
sec-s-30dabc5025904beeb763c86bfdebf9a4,exchange_traded_fund,FTXL,First Trust Exchange-Traded Fund III - First Trust Nasdaq Semiconductor ETF,NASDAQ,USD,
sec-s-dc0eaa4baf0547b2b14e46669c1b4e37,exchange_traded_fund,WOOD,BTC iShares Global Timber & Forestry ETF,NASDAQ,USD,ETFs
sec-s-30dabc5025904beeb763c86bfdebf9a4,exchange_traded_fund,FTXL,First Trust Exchange-Traded Fund III - First Trust Nasdaq Semiconductor ETF,NASDAQ,USD,
sec-s-8adaca9a403a4eab820ae4ce4bcffc77,exchange_traded_fund,FTC,First Trust Large Capital Growth AlphaDEX Fund,NASDAQ,USD,
sec-s-6043f3f41aa4467788784d2eed6cf2f0,exchange_traded_fund,FTHI,First Trust BuyWrite Income ETF,NASDAQ,USD,ETFs
sec-s-99efe0187d9e4c08972f2d3b333a1d90,exchange_traded_fund,FTSL,First Trust Senior Loan Fund ETF,NASDAQ,USD,ETFs
sec-s-8000e7cdb16840628c5f56347914bc5e,exchange_traded_fund,HLAL,Wahed FTSE USA Shariah ETF,NASDAQ,USD,
sec-s-34158c1323f84794822e3874b9919f01,exchange_traded_fund,PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,NASDAQ,USD,ETFs
sec-s-197462ca5b6a4b719574bb9f87ad4ade,exchange_traded_fund,BUG,Global X Funds - Cybrscurty ETF,NASDAQ,USD,
sec-s-28b34e5db78f4b9f92cb52510dc2b620,exchange_traded_fund,PSCH,Invesco Exchange Traded Fund Trust II - S&p Small-Cap Health,NASDAQ,USD,
sec-s-30dabc5025904beeb763c86bfdebf9a4,exchange_traded_fund,FTXL,First Trust Exchange-Traded Fund III - First Trust Nasdaq Semiconductor ETF,NASDAQ,USD,
