,security_type,symbol,name,primary_exchange,currency,sector
sec-s-4e75e27f8feb47cda4456e42c3e425cb,exchange_traded_fund,ATSX,Accelerate Enhanced Benchmark Alternative Fund,TSX,CAD,
sec-s-7ce08e853fda4fcaac6d651962b01aa1,exchange_traded_fund,AUGB.F,First Trust Cboe Vest U.S. Equity Buffer ETF-Aug Hedged,TSX,CAD,
sec-s-d1bb6103663a4e6a977f0eb1a8993b47,exchange_traded_fund,HBA,Hamilton Australian Banks Equal-Weight Index ETF,TSX,CAD,
sec-s-d5888b9fecda4455b8c7f54648e3dc36,exchange_traded_fund,EAUT,Emerge Ark Autonomous Tech & Robotics ETF,AEQUITAS NEO EXCHANGE,CAD,
sec-s-71b7850bfbd1469ab745038d4cb28f7b,exchange_traded_fund,RBOT,Horizons Robotics and Automation Index ETF Class A,TSX,CAD,ETFs
sec-s-a4415a68553a4a9b864113d654e5c9d5,exchange_traded_fund,CARS,Evolve Automobile Innovation Index Fund  Hedged,TSX,CAD,ETFs
sec-s-bb98bebc4312465cadd9f59b1db6718d,exchange_traded_fund,CARS.B,Evolve Automobile Innovation Index Fund  Unhedged,TSX,CAD,ETFs
sec-s-0c2d3b0c05384906ad1d3e1d5f162045,exchange_traded_fund,ZWA,BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF,TSX,CAD,ETFs
sec-s-ed857582b15c42ea9d1eb320b9df4bcb,exchange_traded_fund,ZDJ,BMO Dow Jones Industrial Average Hedged to CAD Index ETF,TSX,CAD,ETFs
sec-s-150beb417dbb46218eb6e54de523b545,exchange_traded_fund,XSEM,iShares ESG Aware MSCI Emerging Markets Index ETF,TSX,CAD,
sec-s-47dbd7180a59413aaa3be82342090a79,exchange_traded_fund,XESG,iShares ESG Aware MSCI Canada Index ETF,TSX,CAD,
sec-s-cf5ef0eda4f2493b87145d24986fa753,exchange_traded_fund,XSEA,iShares ESG Aware MSCI EAFE Index ETF,TSX,CAD,
sec-s-bbabd3e5f9664bfd90b9ba6e8a5f240c,exchange_traded_fund,XSUS,iShares ESG Aware MSCI USA Index ETF,TSX,CAD,
sec-s-77cbea7097804934b940f5f6db6691b5,exchange_traded_fund,BANK,Evolve Canadian Banks And Lifecos Enhanced Yield Index Fund - Unhedged,TSX,CAD,Newly listed
sec-s-4450f8da85dc4f87bc11b86883dbaea3,exchange_traded_fund,BASE.B,Evolve Global Matls Mng Enhanc - Unhedged,TSX,CAD,
sec-s-c8c7e87516f7470d8f266756b3093afc,exchange_traded_fund,BASE,Evolve Global Materials & Mining Enh Yield Index ETF  Hedged,TSX,CAD,
sec-s-1eef516c7e8948bab14e6a831a933081,exchange_traded_fund,EBNK.B,Evolve European Banks Enhanced Yield ETF Unhedged,TSX,CAD,
sec-s-2cbe0a1cc27049c7a3ab67bc27f5142c,exchange_traded_fund,HCA,Hamilton Canadian Bank Mean Reversion Index ETF,TSX,CAD,
sec-s-2e9522b183da4a848aa4fb502bc06c2f,exchange_traded_fund,XBAL,iShares Core Balanced ETF Portfolio,TSX,CAD,ETFs
sec-s-48f122015b6d49ea86b42868a880c904,exchange_traded_fund,RBNK,RBC Canadian Bank Yield Index ETF,TSX,CAD,ETFs
sec-s-606cc25b49714537a226c7b881c58a47,exchange_traded_fund,ZBK,BMO Equal Weight US Banks Index ETF,TSX,CAD,ETFs
sec-s-355f535334bd4faf85e794f1a06c415b,exchange_traded_fund,HUBL,Harvest US Bank Leaders Income ETF Class A units,TSX,CAD,ETFs
