,security_type,symbol,name,primary_exchange,currency,sector
sec-s-6313ba259c654fa8932f3a893c5e708d,equity,ACQ,AutoCanada Inc,TSX,CAD,"Transportation, Automotive"
sec-s-20bb7ef591694db79d749d6279fe9533,equity,ACP,ArcPacific Resources Corp,TSX-V,CAD,
sec-s-baf1d750ca2941a293d8d557a7b62022,equity,ACI.H,Amilot Capital Inc.,TSX-V,CAD,
sec-s-0bf47a4f34da4e059861e3e0b9ab89f7,equity,CAC.P,Cinaport Acquisition Corp III,TSX-V,CAD,
sec-s-0937ec00f0364a4f86d71c21fc325f4d,equity,REBL.P,Genesis Acquisition Corporation,TSX-V,CAD,
sec-s-d5a803c718c24a279416c232e27207ac,equity,LTE,Lite Access Technologies Inc,TSX-V,CAD,
sec-s-20a9b345ade94a5a86603f2dc615bd06,equity,ADN,Acadian Timber Corp,TSX,CAD,"Manufacturing, Machinery, Materials"
sec-s-35be58bf16214ef687d238acc2fe2c86,equity,TCK.P,Trillium Acquisition Corp,TSX-V,CAD,
sec-s-4b7eef0135534a7f9979b92430ded117,equity,BLTC.P,Baltic I Acquisition Corp,TSX-V,CAD,
sec-s-adb868e71e8842a2aa0c3517b609bffe,equity,AT,AcuityAds Holdings Inc,TSX,CAD,"Advertising and Marketing, Software, Internet, Technology"
sec-s-b00517d549104888a3114c8e24064d29,equity,AXE,Acceleware Limited,TSX-V,CAD,
sec-s-91c4a679a0f14892b149ce30ea20add4,equity,ASP,Acerus Pharmaceuticals Corp,TSX,CAD,
sec-s-f15ef8712bb442668c6f56848bce8a29,equity,MNC,Magnetic North Acquisition Corp,TSX-V,CAD,
sec-s-fe2106243a53437f96ab73f3b4620f5f,equity,MRKI.P,Meraki Acquisition One Inc,TSX-V,CAD,
sec-s-0d6467a919ee46aca4217527056bff26,equity,ADY,Adyton Resources Corporation,TSX-V,CAD,
sec-s-e3050940562b4e459df1fdebf167ce4c,equity,ADZN,Adventus Mining Corporation,TSX-V,CAD,
sec-s-4deb56bffd8c4902ac51a4133659c01c,equity,ADZ,Adamera Minerals Corp,TSX-V,CAD,
sec-s-acf3a72c8db34769b500421398a94e6d,equity,ADE,Adex Mining Inc.,TSX-V,CAD,
sec-s-b5b8591ca0fa448dac22438bbc8e43b2,equity,ADYA,Adya Inc,TSX-V,CAD,
sec-s-4b28054d44d548a2b5fe5532c6c89244,equity,ADCO,Adcore Inc,TSX,CAD,
sec-s-086723de647f4a06874b5d77e7314ecb,equity,ADD,Arctic Star Exploration Corp,TSX-V,CAD,
