,security_type,symbol,name,primary_exchange,currency,sector
sec-s-6df8227cd6724ce0847aa7fe3d976526,equity,AAWW,Atlas Air Worldwide Holdings Inc.,NASDAQ,USD,"Logistics, Transportation"
sec-s-b74a7dcd68e94a26bc0e89d35659e383,equity,AAME,Atlantic American Corporation,NASDAQ,USD,
sec-s-179fb65b3f5b472d90ac317d5413818b,equity,OTLY,Oatly Group AB,NASDAQ,USD,
sec-s-dde7492cb7df43909d14f2da98b5ec6a,equity,ABVC,ABVC BioPharma Inc,NASDAQ,USD,
sec-s-722e708c41fd4101bafe59ffb6688c9d,equity,ABSI,Absci Corp,NASDAQ,USD,
sec-s-257b3a84c90b4f7783c4f4387c3009ee,equity,ABEO,Abeona Therapeutics Incorporation,NASDAQ,USD,"Healthcare, Pharmaceuticals, Biotech"
sec-s-f2d0ac02bb974ca59312ef6c9f1a8786,equity,ABMD,Abiomed Inc.,NASDAQ,USD,"Fractional Trading, Manufacturing, Healthcare, Engineering, Technology"
sec-s-1f5343306aaf40459504a39adb08b227,equity,ABNB,Airbnb Inc (Class A),NASDAQ,USD,Fractional Trading
sec-s-cc2ab8ce78514689add315e312225fee,equity,ABUS,Arbutus Biopharma Corp.,NASDAQ,USD,"Manufacturing, Healthcare, Biotech"
sec-s-239d823ede5741f481cbc3239fa5e827,equity,ABCB,Ameris Bancorp,NASDAQ,USD,"Finance, Banking"
sec-s-9c79357ad3b94b49b837506859c95057,equity,ABOS,Acumen Pharmaceuticals Inc,NASDAQ,USD,
sec-s-874323b55f0d4617b778c50add75e94d,equity,ABIO,ARCA biopharma Inc,NASDAQ,USD,"Manufacturing, Healthcare, Biotech"
sec-s-2c89e565715a42d1ab63498e1bc6eb33,equity,ACRX,Acelrx Pharmaceuticals Inc,NASDAQ,USD,"Manufacturing, Healthcare, Pharmaceuticals"
sec-s-f8946dafd0fa47e3a838c273529c8720,equity,ACAD,Acadia Pharmaceuticals Inc,NASDAQ,USD,"Manufacturing, Healthcare, Biotech"
sec-s-89f45caa097d49159c99de70b7541054,equity,ACOR,Acorda Therapeutic,NASDAQ,USD,
sec-s-8fd6376c66114287a22423efa2cac1cd,equity,ACER,Acer Therapeutics Inc,NASDAQ,USD,"Manufacturing, Healthcare, Pharmaceuticals"
sec-s-88c77504aeec4babb62ed8b15821cab2,equity,ACIW,ACI Worldwide Inc.,NASDAQ,USD,"Software, Internet, Technology"
sec-s-d00d55bd6970449c8c3ef0e62e307d78,equity,ACNB,ACNB Corp.,NASDAQ,USD,
sec-s-6e4134e98c764deb97e08f775cb25b9f,equity,ACTG,Acacia Research Corp,NASDAQ,USD,Technology
sec-s-6d567ae4187649c49790936951d706f9,equity,ACVA,ACV Auctions Inc (Class A),NASDAQ,USD,
sec-s-6138438c5ce24619b4f6f769305b70c2,equity,ACLX,Arcellx Inc,NASDAQ,USD,Newly listed
sec-s-c70cf219dc9c4955b079c9886315c263,equity,ACLS,Axcelis Technologies Inc,NASDAQ,USD,"Manufacturing, Electronics, Engineering, Technology"
sec-s-7946d047a8804945bef4431b8b4a74dc,equity,ACGL,Arch Capital Group Ltd.,NASDAQ,USD,"Finance, Insurance"
