,security_type,symbol,name,primary_exchange,currency,sector
sec-s-720579539e864f5aa08109e4ab6b0b5c,equity,JEQ,AAberdeen Japan Equity Fund Inc.,NYSE,USD,
sec-s-46f884a32e4e4b4392080b2b900ee72d,equity,AB,AllianceBernstein Holding Lp,NYSE,USD,Finance
sec-s-91b5ac471f56466a959f7cb8b9440fed,equity,ABT,Abbott Laboratories,NYSE,USD,"Fractional Trading, Manufacturing, Healthcare, Engineering, Technology"
sec-s-fca380f59e674b90a83a350174bd1af8,equity,ABB,ABB Ltd.,NYSE,USD,"Manufacturing, Electronics, Engineering, Technology"
sec-s-51e7224e52fe40fc905c2232baed1b2e,equity,ABM,ABM Industries Inc.,NYSE,USD,"Real Estate, Logistics"
sec-s-b1de51bbaf464e528669f96398e57c46,equity,ABBV,Abbvie Inc,NYSE,USD,"Fractional Trading, Healthcare, Pharmaceuticals, Biotech"
sec-s-2a14635b27b8470e947086f57328b917,equity,ABG,Asbury Automotive Group Inc,NYSE,USD,"Retail, Transportation, Automotive"
sec-s-2ab3dde407574a4aa00b3d993e74ccde,equity,ABEV,Ambev S.A.,NYSE,USD,"Food, Alcohol and Tobacco, Consumer Products"
sec-s-cda30c92a3894c49b9dadccfda4f8221,equity,ABR,Arbor Realty Trust Inc.,NYSE,USD,"Real Estate, Finance, Banking"
sec-s-9841d805247944d493e2aa5cdfce2e7a,equity,ABC,Amerisource Bergen Corp.,NYSE,USD,"Manufacturing, Healthcare, Engineering, Technology"
sec-s-f05b6a9a75b8418f80d7092e525a35ae,equity,FEO,First Trust-Aberdeen Emerging Opportunity Fund,NYSE,USD,
sec-s-18e56a292634465a8735c15afb357619,equity,ANF,Abercrombie & Fitch Co. (Class A),NYSE,USD,"Apparel and Footwear, Retail, Fashion and Jewelry, Consumer Products"
sec-s-1f6f9b83568a4f5e9b781dbbd6d081dd,equity,IAF,Aberdeen Australia Equity Fund Inc.,NYSE,USD,Finance
sec-s-c31007e244714831b10e5e93a0bd2a1c,equity,FCO,Aberdeen Global Income Fund Inc,NYSE,USD,Finance
sec-s-54f0464da0034141a7321075695f8405,equity,FAX,Aberdeen Asia-Pacific Income Fund Inc,NYSE,USD,Finance
sec-s-85d31385829d4e77906f62f9b06bf6f8,equity,AC,Associated Capital Group Inc (Class A),NYSE,USD,Finance
sec-s-ce52d81ed6f84bdeae2cecdeaee51697,equity,ACR,ACRES Commercial Realty Corp,NYSE,USD,
sec-s-a54f08accd004e729221d91f5386e61d,equity,ACU,Acme United Corp.,NYSE,USD,"Manufacturing, Electronics, Retail, Consumer Products"
sec-s-91d9cde88a414848bb03ed9927002978,equity,ACN,Accenture plc (Class A),NYSE,USD,"Fractional Trading, Consulting, Software, Technology"
sec-s-16fa05822b1b4cbaaa8ea1b9b0f44b35,equity,ACCO,Acco Brands Corporation,NYSE,USD,"Manufacturing, Machinery, Consumer Products"
sec-s-25aa0a5888484363a2f11000c62f045c,equity,ACRE,Ares Commercial Real Estate Corp,NYSE,USD,Finance
sec-s-4d4c23c20c4a47b4af0f2c872a92c3a6,equity,ACY,Aerocentury Corp.,NYSE,USD,
sec-s-d0f081babc654e49b856e1dd9e1d1aee,equity,ACI,Albertsons Companies Inc.,NYSE,USD,
sec-s-cac831ba0e0040dc994058d4490a3794,equity,ACM,AECOM,NYSE,USD,"Manufacturing, Consulting, Construction, Engineering"
sec-s-84503c5f570b48b492cea93891d65dbd,equity,ACHR,Archer Aviation Inc.,NYSE,USD,
sec-s-d39938f95b0c44ea8bb2c01e0eda3819,equity,ACH,Aluminum Corporation Of China Limited.,NYSE,USD,"Energy, Manufacturing, Clean Energy, Materials"
sec-s-9ddde9875afb48aa96fcbce184759788,equity,ACA,Arcosa Inc,NYSE,USD,
sec-s-134024c12ea94a1ea17b1d0e6c97abdd,equity,ATNM,Actinium Pharmaceuticals Inc.,NYSE,USD,
sec-s-db61f935bec94f37822e63d289588580,equity,AVAL,Grupo Aval Acciones y Valores S.A.,NYSE,USD,"Finance, Banking"
sec-s-fa98c79fb7b146529051b858fadfe9f9,equity,AKR,Acadia Realty Trust,NYSE,USD,"Real Estate, Finance"
sec-s-6694e1c3c13b4ff89d604396f588b236,equity,GOLF,Acushnet Holdings Corp,NYSE,USD,"Manufacturing, Healthcare, Biotech"
sec-s-6090c29cef9340368e473ac009a9058d,equity,FRXB,Forest Road Acquisition Corp II (Class A),NYSE,USD,
sec-s-de39cb30b9dc4c52b3111e6a1e91a741,equity,ADX,Adams Diversified Equity Fund,NYSE,USD,Finance
sec-s-c4d1900936314e7b855ef3a3c0f9ed8d,equity,ADNT,Adient plc,NYSE,USD,
sec-s-f1b842093d744f7493822df5c0221c2f,equity,ADT,ADT Inc.,NYSE,USD,
sec-s-847e734d21c94ad1bfd4dd3eb5c6537a,equity,ADC,Agree Realty Corp.,NYSE,USD,"Real Estate, Finance"
sec-s-63bd1b6a725945e08345ff9e61cc14fa,equity,ADS,Alliance Data System,NYSE,USD,"Fractional Trading, Consulting, Finance, Software, Technology"
sec-s-e12bff5e4279453fab2026e69f62d19a,equity,ADM,Archer-Daniels-Midland Company,NYSE,USD,"Manufacturing, Agriculture, Biotech"
sec-s-105d286c2cf64398b846fa9b98cdfd49,equity,RYAM,Rayonier Advanced Materials Inc,NYSE,USD,"Manufacturing, Materials"
sec-s-1696d46c3c154fd6aecb9a9b3fa67857,equity,VIV,"Telefonica Brasil S.A., - ADR (Representing Ord)",NYSE,USD,
sec-s-46c84902c6ef4ac297e694fcf7c65171,equity,AGRO,Adecoagro S.A.,NYSE,USD,
sec-s-4b5d4434a2304d3fb437983f2d51e0e1,equity,TIMB,TIM SA - ADR,NYSE,USD,
sec-s-56bf985068014881bff96e7cb6132267,equity,VKI,Invesco Advantage Municipal Income Trust II,NYSE,USD,Finance
sec-s-5948b4f0feaf434796b811004a679f66,equity,AAP,Advance Auto Parts Inc,NYSE,USD,"Fractional Trading, Retail, Transportation, Automotive"
sec-s-5d2262d3a04040c5bcd992cf42ed48cc,equity,AVK,Advent Convertible and Income Fund,NYSE,USD,Finance
sec-s-d23e305a9b9c45e9947d635ba5eda661,equity,ASIX,AdvanSix Inc,NYSE,USD,"Manufacturing, Materials"
sec-s-ddf06f3a2e8b414287467177472df3f2,equity,AE,Adams Resources & Energy Inc.,NYSE,USD,"Energy, Oil and Gas"
sec-s-fd2c19e761d347c7838a41b8e4d7b416,equity,ATGE,Adtalem Global Education Inc,NYSE,USD,Education
sec-s-ddf06f3a2e8b414287467177472df3f2,equity,AE,Adams Resources & Energy Inc.,NYSE,USD,"Energy, Oil and Gas"
sec-s-fd885b4d47ce408686c2b3255da202bd,equity,AER,Aercap Holdings N.V.,NYSE,USD,
sec-s-73f0dfb63b214688895a5b5dac785ee4,equity,AEVA,Aeva Technologies Inc,NYSE,USD,
sec-s-798b6e4aeaf64b508e9aa482920b1326,equity,AENZ,Aenza S.A.A,NYSE,USD,
sec-s-b7ee26e816e14eefb7712a780e782f9d,equity,AES,AES Corp.,NYSE,USD,"Energy, Oil and Gas, Utilities"
sec-s-f200ad200c6341d0b3e25edc47b156d0,equity,AEE,Ameren Corp.,NYSE,USD,"Energy, Oil and Gas, Utilities"
sec-s-d507f4beddbd472faff3586d52625f2b,equity,AEL,American Equity Investment Life Holding Company,NYSE,USD,"Healthcare, Finance, Insurance"
sec-s-43948a98c287453e83cbc4435dccd2f1,equity,AEO,American Eagle Outfitters Inc.,NYSE,USD,"Apparel and Footwear, Retail, Fashion and Jewelry, Consumer Products"
sec-s-b6d061dfac38495ca72951f013026d09,equity,AEG,New York Shares,NYSE,USD,"Finance, Insurance"
sec-s-1295e923822e48f5833b83a20021d320,equity,ASR,Grupo Aeroportuario del Sureste S.A.B. de C.V.,NYSE,USD,"Logistics, Transportation"
sec-s-457984f5f0db43959393e1a1d37cd353,equity,HWM,Howmet Aerospace Inc,NYSE,USD,
